gene_symbol	config_source	status	distinct_patient_count	total_sv_count	n_events_analyzed	in_frame_percent	domain_retention_percent	fisher_p_value	permutation_p_value	min_fdr_adjusted_q_value	fdr_significant	top_composite_score	top_composite_partner_gene	error
NTRK3	auto	ok	71	71	58	94.82758620689656	94.82758620689656	0.06954887218045114	0.009900990099009901	7.663190151257616e-09	True	0.39428816555577034	ETV6	
ROS1	auto	ok	204	207	122	59.01639344262295	87.70491803278688	0.21404697810540477	0.009900990099009901	0.00020767399036791966	True	0.38738259432620736	CD74	
ETV6	auto	ok	213	214	90	71.11111111111111	75.55555555555556	5.123255667283157e-06	0.009900990099009901	0.0021893379218190026	True	0.44885797730618165	NTRK3	
FLI1	auto	ok	121	121	118	61.86440677966102	5.932203389830509	0.9888368892254235	0.801980198019802	0.007701594220737648	True	0.5807703368213202	EWSR1	
RET	curated	ok	219	230	194	75.25773195876289	92.26804123711341	0.00041966557652448966	0.009900990099009901	0.09074136799456704	False	0.43446312361956285	KIF5B	
FGFR2	auto	ok	188	195	136	79.41176470588235	84.55882352941177	0.00042468658967816087	0.009900990099009901	0.09074136799456704	False	0.3373289449752655	BICC1	
ERG	auto	ok	863	863	788	30.20304568527919	96.06598984771574	0.8461559038589237	0.009900990099009901	0.21155115511551156	False	0.44839053266803336	TMPRSS2	
EWSR1	auto	ok	415	418	349	65.32951289398281	11.174785100286533	0.9999906850480795	1.0	0.21155115511551156	False	0.29319196671200204	NR4A3	
ALK	curated	ok	321	322	272	83.08823529411765	95.95588235294117	0.001916606889583502	0.009900990099009901	0.21155115511551156	False	0.49628612459616434	EML4	
TP53	auto	ok	258	260	47	8.51063829787234	25.53191489361702	1.0	1.0	0.21155115511551156	False	0.2283906583771174	EIF5	
BRAF	curated	ok	247	251	179	84.35754189944134	91.06145251396649	0.013367557978153668	0.009900990099009901	0.21155115511551156	False	0.3299168133242709	KIAA1549	
EML4	auto	ok	224	225	223	87.89237668161435	53.36322869955157	0.9999957968288015	0.009900990099009901	0.21155115511551156	False	0.6666684758053562	ALK	
FGFR3	auto	ok	194	195	152	48.68421052631579	93.42105263157895	0.019482445609430563	0.009900990099009901	0.21155115511551156	False	0.4923544469678808	TACC3	
TACC3	auto	ok	138	139	132	50.0	48.484848484848484	0.5690847357064275	1.0	0.21155115511551156	False	0.5677847104317121	FGFR3	
NOTCH1	auto	ok	115	117	47	23.404255319148938	59.57446808510638	0.5602236263190975	0.009900990099009901	0.21155115511551156	False	0.33983994748380775	SEC16A	
NTRK1	curated	ok	113	118	78	41.02564102564103	82.05128205128206	0.04826275446570913	0.009900990099009901	0.21155115511551156	False	0.2923325131939558	LMNA	
NAB2	auto	ok	111	111	72	34.72222222222222	68.05555555555556	0.11257953815677238	0.009900990099009901	0.21155115511551156	False	0.3891339296891707	STAT6	
CDK12	auto	ok	99	101	43	16.27906976744186	37.2093023255814	0.06770056320762355	0.31683168316831684	0.21155115511551156	False	0.2756851385529113	ADCY9	
TERT	auto	ok	92	92	19	0.0	68.42105263157895			0.21155115511551156	False	0.3992872251550863	SLC12A7	
MET	auto	ok	73	75	33	51.515151515151516	72.72727272727273	0.26986775429489557	0.009900990099009901	0.21155115511551156	False	0.28504668386748183	CD47	
POLE	auto	ok	73	74	22	18.181818181818183	31.818181818181817	0.8133971291866029	0.9603960396039604	0.21155115511551156	False	0.2044561611937674	GOLGA3	
STAT6	auto	ok	60	60	53	43.39622641509434	5.660377358490566	0.4388775510204082	1.0	0.21155115511551156	False	0.3593870604290903	NAB2	
DNAJB1	auto	ok	54	54	39	64.1025641025641	2.5641025641025643	0.641025641025641	0.009900990099009901	0.21155115511551156	False	0.5431766779315568	PRKACA	
RNF43	auto	ok	48	48	21	28.571428571428573	33.333333333333336	0.9751131221719457	1.0	0.21155115511551156	False	0.24483521110056072	EFCAB5	
KIAA1549	auto	ok	44	44	44	90.9090909090909	50.0	0.9461145774248441	0.009900990099009901	0.21155115511551156	False	0.5302442679348056	BRAF	
POLD1	auto	ok	36	37	16	12.5	37.5	0.1923076923076923	0.43564356435643564	0.21155115511551156	False	0.23271511404952305	MYH14	
RBM10	auto	ok	36	36	7	42.857142857142854	71.42857142857143	0.28571428571428575	0.009900990099009901	0.21155115511551156	False	0.3469851094261489	PHIP	
PRKACA	auto	ok	35	35	35	68.57142857142857	82.85714285714286	0.2	0.009900990099009901	0.21155115511551156	False	0.6812065765728129	DNAJB1	
ATF1	auto	ok	30	30	30	70.0	90.0	0.6724137931034483	0.009900990099009901	0.21155115511551156	False	0.39417217641713087	EWSR1	
BICC1	auto	ok	29	29	28	96.42857142857143	67.85714285714286	0.32142857142857145	0.009900990099009901	0.21155115511551156	False	0.42917424366255674	FGFR2	
RPS6KA4	auto	ok	21	22	13	38.46153846153846	53.84615384615385	0.24747474747474751	0.5841584158415841	0.21155115511551156	False	0.21367593983087965	DOCK2	
LMNA	auto	ok	17	17	13	46.15384615384615	38.46153846153846	0.41258741258741266	0.061938061938061936	0.21155115511551156	False	0.4387180418088738	NTRK1	
AGK	auto	ok	14	14	14	92.85714285714286	14.285714285714286	0.8571428571428572	0.009900990099009901	0.21155115511551156	False	0.6219775344176879	BRAF	
TPM3	auto	ok	14	14	14	78.57142857142857	64.28571428571429	1.0	0.009900990099009901	0.21155115511551156	False	0.5362162710201488	NTRK1	
NR4A3	auto	ok	7	7	7	57.142857142857146	71.42857142857143	0.7142857142857142	1.0	0.21155115511551156	False	0.37233904160676246	EWSR1	
EMID1	auto	ok	5	5	4	75.0	25.0	0.75	0.009900990099009901	0.21155115511551156	False	0.46736634667443766	EWSR1	
EGFR	auto	ok	466	559	55	50.90909090909091	74.54545454545455	0.011453858475228429	0.22772277227722773	0.2368362349232717	False	0.3219464603947537	SEPTIN14	
CREB1	auto	ok	7	7	7	57.142857142857146	71.42857142857143	0.7142857142857142	0.3564356435643564	0.2368362349232717	False	0.3814415123298625	EWSR1	
EZH1	auto	ok	30	31	11	0.0	18.181818181818183			0.2528607743197733	False	0.3722167352125851	RAB37	
TSC2	auto	ok	88	90	34	17.647058823529413	23.529411764705884	0.4762390310221232	0.5841584158415841	0.27166772621318075	False	0.2546335841906085	LMLN	
PRKD1	auto	ok	16	16	4	50.0	25.0	0.5	0.013986013986013986	0.27166772621318075	False	0.3032658646395241	CRIP2	
ASPSCR1	auto	ok	20	20	20	70.0	20.0	0.9391124871001032	1.0	0.2825116060410178	False	0.48519357687675413	TFE3	
SEC16A	auto	ok	17	17	17	23.529411764705884	41.1764705882353	1.0	1.0	0.2825116060410178	False	0.37078018250951844	NOTCH1	
AGO2	auto	ok	49	49	23	26.08695652173913	30.434782608695652	0.2670044094192701	0.1188118811881188	0.3155395329308373	False	0.325962175123676	TRAPPC9	
NCOR1	auto	ok	80	81	19	0.0	31.57894736842105			0.3283895591587899	False	0.3513380923243728	CUX1	
KDR	auto	ok	28	29	9	11.11111111111111	33.333333333333336	1.0	1.0	0.3283895591587899	False	0.2071183763283174	PAICS	
SLX4	auto	ok	28	29	19	26.31578947368421	57.89473684210526	0.9526143790849673	0.6633663366336634	0.3283895591587899	False	0.3829542100990689	CREBBP	
CASP8	auto	ok	19	19	9	22.22222222222222	55.55555555555556	0.27777777777777773	0.01998001998001998	0.3283895591587899	False	0.26009618331493267	ORC2	
CDKN2B	auto	ok	40	40	12	16.666666666666668	16.666666666666668	0.022222222222222223	0.04195804195804196	0.3606188466947961	False	0.39086971112797186	CDKN2A	
CD74	auto	ok	74	74	67	58.208955223880594	88.05970149253731	0.2987236190567761	0.022977022977022976	0.3682067932067932	False	0.43196843403361834	ROS1	
