event_id	sample_id	patient_id	fusion_name	partner_gene	frame_status	target_role	breakpoint_genomic	breakpoint_exon	breakpoint_protein_position	is_intronic_breakpoint	domain_status	domain_retained_fraction	domain_is_truncated	retained_domains	lost_domains	disrupted_domains	source_annotation_text	source_site2_effect_on_frame
EVT-P-0000025-T03-IM6-1	P-0000025-T03-IM6		DGKQ-FGFR3	DGKQ	unknown	three_prime	1795701	1	14	False	retained	1.0	False	Protein tyrosine and serine/threonine kinase			DGKQ (NM_001347) - FGFR3 (NM_000142) rearrangement: c.352-750:DGKQ_c.40:FGFR3inv | Protein Fusion: mid-exon  {DGKQ:FGFR3}	NA
EVT-P-0020773-T01-IM6-2	P-0020773-T01-IM6		FGFR3-BABAM2	BABAM2	unknown	three_prime	1803105	4	153	False	retained	1.0	False	Protein tyrosine and serine/threonine kinase			BRE (NM_004899) - FGFR3 (NM_000142 ) rearrangement: t(2;4)(p23.2;p16.3)(chr2:g.28322454::chr4:g.1803105) | Protein Fusion: mid-exon  {BRE:FGFR3}	NA
EVT-P-0054353-T02-IM7-4	P-0054353-T02-IM7		FGFR3-CCDC149	CCDC149	in-frame	five_prime	1808701	16	758	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			FGFR3 (NM_000142) - CCDC149 (NM_001130726) fusion: c.2274+40:FGFR3_c.490-99:CCDC149inv | Protein Fusion: in frame  {FGFR3:CCDC149}	NA
EVT-P-0054353-T01-IM6-5	P-0054353-T01-IM6		FGFR3-CCDC149	CCDC149	in-frame	five_prime	1808701	16	758	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			FGFR3 (NM_000142) - CCDC149 (NM_001130726) fusion: c.2274+40:FGFR3_c.490-99:CCDC149inv | Protein Fusion: in frame  {FGFR3:CCDC149}	NA
EVT-P-0057559-T02-IM7-6	P-0057559-T02-IM7		FGFR3-CTBP1	CTBP1	in-frame	five_prime	1808812	17	759	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			FGFR3 (NM_000142) - CTBP1 (NM_001328) fusion: c.2275-31:FGFR3_c.196-1497:CTBP1inv | Protein Fusion: in frame  {FGFR3:CTBP1}	NA
EVT-P-0019022-T02-IM6-35	P-0019022-T02-IM6		FGFR3-GRK4	GRK4	unknown	three_prime	1795705	1	15	False	retained	1.0	False	Protein tyrosine and serine/threonine kinase			GRK4 (NM_182982) - FGFR3 (NM_000142) rearrangement: c.339+3191:GRK4_c.44:FGFR3dup | Protein Fusion: mid-exon  {GRK4:FGFR3}	NA
EVT-P-0002610-T01-IM3-36	P-0002610-T01-IM3		FGFR3-JAKMIP1	JAKMIP1	in-frame	five_prime	1808734	16	758	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			NA | Protein fusion: in frame (FGFR3-JAKMIP1)	NA
EVT-P-0034419-T01-IM6-37	P-0034419-T01-IM6		FGFR3-JAKMIP1	JAKMIP1	in-frame	five_prime	1808749	16	758	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			FGFR3 (NM_000142) - JAKMIP1 (NM_001099433) fusion (FGFR3 exons 1-17 fused to JAKM1P1 exons 4-21): c.2274+88:FGFR3_c.624+9161:JAKMIP1inv | Protein Fusion: in frame  {FGFR3:JAKMIP1}	NA
EVT-P-0068474-T01-IM7-39	P-0068474-T01-IM7		FGFR3-MAEA	MAEA	unknown	five_prime	1808895	17	776	False	retained	1.0	False	Protein tyrosine and serine/threonine kinase			FGFR3 (NM_000142) - MAEA (NM_001017405) fusion: c.2327:FGFR3_c.457-2460:MAEAdup | Protein Fusion: mid-exon  {FGFR3:MAEA}	NA
EVT-P-0010465-T01-IM5-42	P-0010465-T01-IM5		FGFR3-NSD2	NSD2	unknown	five_prime	1807917	13	653	True	disrupted	0.6570397111913358	True			Protein tyrosine and serine/threonine kinase	FGFR3 (NM_000142) - WHSC1 (NM_001042424) rearrangement:c.1959+17:FGFR3_c.-29-12740:WHSC1del | Transcript fusion (FGFR3-WHSC1)	NA
