event_id	sample_id	patient_id	fusion_name	partner_gene	frame_status	target_role	breakpoint_genomic	breakpoint_exon	breakpoint_protein_position	is_intronic_breakpoint	domain_status	domain_retained_fraction	domain_is_truncated	retained_domains	lost_domains	disrupted_domains	source_annotation_text	source_site2_effect_on_frame
EVT-P-0013559-T01-IM5-1	P-0013559-T01-IM5		AFAP1-NTRK1	AFAP1	in-frame	three_prime	156844093	9	393	True	retained	1.0	False	Protein kinase domain			AFAP1(NM_001134647) - NTRK1(NM_002529) Rearrangement : t(1;4)(q23.1;p16.1)(chr1:g.156844093::chr4:g.7852375) | Protein fusion: in frame (AFAP1-NTRK1)	NA
EVT-P-0042270-T01-IM6-2	P-0042270-T01-IM6		ANKRD36-NTRK1	ANKRD36	out-of-frame	three_prime	156844593	11	418	True	retained	1.0	False	Protein kinase domain			ANKRD36 (NM_001164315) - NTRK1 (NM_002529) fusion: t(1;2)(q23.1;q11.2)(chr1:g.156844593::chr2:g.97835462) | Protein Fusion: out of frame  {ANKRD36:NTRK1}	NA
EVT-P-0017558-T02-IM7-3	P-0017558-T02-IM7		ARHGEF11-NTRK1	ARHGEF11	out-of-frame	three_prime	156845502	12	501	True	retained	1.0	False	Protein kinase domain			ARHGEF11 (NM_198236) - NTRK1 (NM_002529) fusion: c.32+488:ARHGEF11_c.1501+44:NTRK1inv | Protein Fusion: out of frame  {ARHGEF11:NTRK1}	NA
EVT-P-0050637-T01-IM6-4	P-0050637-T01-IM6		BCAN-NTRK1	BCAN	in-frame	three_prime	156842373	7	284	True	retained	1.0	False	Protein kinase domain			BCAN (NM_021948) - NTRK1 (NM_002529) fusion: c.1064-525:BCAN_c.850+826:NTRK1del | Protein Fusion: in frame  {BCAN:NTRK1}	NA
EVT-P-0041874-T01-IM6-5	P-0041874-T01-IM6		BCAN-NTRK1	BCAN	in-frame	three_prime	156843258	8	284	True	retained	1.0	False	Protein kinase domain			BCAN (NM_021948) - NTRK1 (NM_002529) fusion: c.92-224:BCAN_c.851-167:NTRK1del | Protein Fusion: in frame  {BCAN:NTRK1}	NA
EVT-P-0055952-T01-IM6-6	P-0055952-T01-IM6		COP1-NTRK1	COP1	in-frame	three_prime	156851106	17	736	True	disrupted	0.17037037037037037	True			Protein kinase domain	RFWD2 (NM_022457) - NTRK1 (NM_002529) rearrangement: c.2133+18462:RFWD2_c.2206-143:NTRK1inv | Protein Fusion: in frame  {RFWD2:NTRK1}	NA
EVT-P-0014859-T03-IM6-8	P-0014859-T03-IM6		CTRC-NTRK1	CTRC	unknown	three_prime	156841593	7	284	True	retained	1.0	False	Protein kinase domain			CTRC (NM_007272) - NTRK1 (NM_002529) rearrangement: c.88:CTRC_c.850+46:NTRK1del | Protein Fusion: mid-exon  {CTRC:NTRK1}	NA
EVT-P-0014859-T01-IM6-9	P-0014859-T01-IM6		CTRC-NTRK1	CTRC	unknown	three_prime	156841592	7	284	True	retained	1.0	False	Protein kinase domain			CTRC (NM_007272)  - NTRK1 (NM_002529) rearrangement: c.88:CTRC_c.850+45:NTRK1del | Protein fusion: mid-exon (CTRC-NTRK1)	NA
EVT-P-0029326-T01-IM6-10	P-0029326-T01-IM6		DIAPH1-NTRK1	DIAPH1	in-frame	three_prime	156843860	8	393	True	retained	1.0	False	Protein kinase domain			DIAPH1 (NM_005219) - NTRK1 (NM_002529) rearrangement: t(1;5)(q23.1;q31.3)(chr1:g.156843860::chr5:g.140904837) | Protein Fusion: in frame  {DIAPH1:NTRK1}	NA
EVT-P-0059139-T01-IM7-11	P-0059139-T01-IM7		EML4-NTRK1	EML4	in-frame	three_prime	156844256	9	399	True	retained	1.0	False	Protein kinase domain			EML4 (NM_019063) - NTRK1 (NM_002529) fusion: t(1;2)(q23.1;p21)(chr1:g.156844256::chr2:g.42473987) | Protein Fusion: in frame  {EML4:NTRK1}	NA
EVT-P-0037901-T01-IM6-12	P-0037901-T01-IM6		EPS15-NTRK1	EPS15	in-frame	three_prime	156844212	9	399	True	retained	1.0	False	Protein kinase domain			EPS15 (NM_001981) - NTRK1 (NM_002529) rearrangement: c.2119+1240:EPS15_c.1195+20:NTRK1inv | Protein Fusion: in frame  {EPS15:NTRK1}	NA
