event_id	sample_id	patient_id	fusion_name	partner_gene	frame_status	target_role	breakpoint_genomic	breakpoint_exon	breakpoint_protein_position	is_intronic_breakpoint	domain_status	domain_retained_fraction	domain_is_truncated	retained_domains	lost_domains	disrupted_domains	source_annotation_text	source_site2_effect_on_frame
EVT-P-0031404-T01-IM6-2	P-0031404-T01-IM6		BLTP3B-EGFR	BLTP3B	unknown	five_prime	55270272	27	1075	False	retained	1.0	False	Protein tyrosine and serine/threonine kinase; Receptor L domain; Furin-like cysteine rich region; Growth factor receptor domain IV			EGFR (NM_005228) - UHRF1BP1L (NM_015054) Rearrangement :t(7;12)(p11.2;q23.1)(chr7:g.55270272::chr12:g.100460508) | Protein Fusion: mid-exon  {EGFR:UHRF1BP1L}	NA
EVT-P-0050679-T02-IM6-3	P-0050679-T02-IM6		CADPS-EGFR	CADPS	out-of-frame	three_prime	55241099	18	688	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase	Receptor L domain; Furin-like cysteine rich region; Growth factor receptor domain IV		CADPS (NM_003716) - EGFR (NM_005228) fusion: t(3;7)(p14.2;p11.2)(chr3:g.62537410::chr7:g.55241099) | Protein Fusion: out of frame  {CADPS:EGFR}	NA
EVT-P-0038683-T01-IM6-4	P-0038683-T01-IM6		CSF2RA-EGFR	CSF2RA	unknown	three_prime	55224220	9	336	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase; Growth factor receptor domain IV	Receptor L domain	Furin-like cysteine rich region	CSF2RA (NM_001161530) - EGFR (NM_005228) rearrangement: t(7;X)(p11.2;p22.33)(chr7:g.55224220::chrX:g.1401662) | Protein Fusion: mid-exon  {CSF2RA:EGFR}	NA
EVT-P-0016795-T01-IM6-5	P-0016795-T01-IM6		DDC-EGFR	DDC	out-of-frame	three_prime	55222204	8	297	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase; Growth factor receptor domain IV	Receptor L domain	Furin-like cysteine rich region	DDC (NM_000790) - EGFR (NM_005228) Rearrangement : c.435+4059:DDC_c.889+359:EGFRinv | Protein Fusion: out of frame  {DDC:EGFR}	NA
EVT-P-0018389-T02-IM6-6	P-0018389-T02-IM6		EEA1-EGFR	EEA1	in-frame	three_prime	55241575	18	688	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase	Receptor L domain; Furin-like cysteine rich region; Growth factor receptor domain IV		EEA1 (NM_003566) - EGFR (NM_005228) rearrangement: t(7;12)(p11.2;q22)(chr7:g.55241575::chr12:g.932211089) | Protein Fusion: in frame  {EEA1:EGFR}	NA
EVT-P-0064660-T01-IM7-9	P-0064660-T01-IM7		EGFR-CDH7	CDH7	out-of-frame	five_prime	55254206	20	823	True	disrupted	0.43873517786561267	True	Receptor L domain; Furin-like cysteine rich region; Growth factor receptor domain IV		Protein tyrosine and serine/threonine kinase	EGFR (NM_005228) - CDH7 (NM_033646) rearrangement: t(7;18)(p11.2;q22.1)(chr7:g.55254206::chr18:g.63486938) | Protein Fusion: out of frame  {EGFR:CDH7}	NA
EVT-P-0034892-T01-IM6-497	P-0034892-T01-IM6		EGFR-ELAPOR2	ELAPOR2	unknown	three_prime	55268103	24	981	False	lost	0.0	False		Protein tyrosine and serine/threonine kinase; Receptor L domain; Furin-like cysteine rich region; Growth factor receptor domain IV		EGFR (NM_005228) rearrangement: c.2943:EGFR_chr7:g.86587163del | Antisense Fusion	NA
EVT-P-0059222-T03-IM7-500	P-0059222-T03-IM7		EGFR-LANCL2	LANCL2	in-frame	five_prime	55259704	21	875	True	disrupted	0.6442687747035574	True	Receptor L domain; Furin-like cysteine rich region; Growth factor receptor domain IV		Protein tyrosine and serine/threonine kinase	EGFR (NM_005228) - LANCL2 (NM_018697) rearrangement: c.2625+137:EGFR_c.1008+3812:LANCL2del | Protein Fusion: in frame  {EGFR:LANCL2}	NA
EVT-P-0057880-T01-IM6-501	P-0057880-T01-IM6		EGFR-LANCL2	LANCL2	in-frame	five_prime	55268871	24	982	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase; Receptor L domain; Furin-like cysteine rich region; Growth factor receptor domain IV			EGFR (NM_005228) - LANCL2 (NM_018697) fusion: c.2947-10:EGFR_c.205-8690:LANCL2del | Protein Fusion: in frame  {EGFR:LANCL2}	NA
EVT-P-0063142-T01-IM7-503	P-0063142-T01-IM7		EGFR-PCDH15	PCDH15	unknown	five_prime	55221820	7	288	False	lost	0.0	False	Receptor L domain	Protein tyrosine and serine/threonine kinase; Growth factor receptor domain IV	Furin-like cysteine rich region	EGFR (NM_005228) - PCDH15 (NM_001142763) rearrangement: t(7;10)(p11.2;q21.1)(chr7:g.55221820::chr10:g.56187463) | Protein Fusion: mid-exon  {EGFR:PCDH15}	NA
EVT-P-0042236-T01-IM6-504	P-0042236-T01-IM6		EGFR-PKD1L1	PKD1L1	in-frame	five_prime	55268824	24	982	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase; Receptor L domain; Furin-like cysteine rich region; Growth factor receptor domain IV			EGFR (NM_005228) - PKD1L1 (NM_138295) fusion: c.2947-57:EGFR_c.8527-7825:PKD1L1inv | Protein Fusion: in frame  {EGFR:PKD1L1}	NA
EVT-P-0041149-T04-IM6-505	P-0041149-T04-IM6		EGFR-RAD51	RAD51	in-frame	five_prime	55268799	24	982	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase; Receptor L domain; Furin-like cysteine rich region; Growth factor receptor domain IV			EGFR (NM_005228) - RAD51 (NM_002875) fusion: t(7;15)(p11.2;q15.1)(chr7:g.55268799::chr15:g.40996189) | Protein Fusion: in frame  {EGFR:RAD51}	NA
EVT-P-0041149-T01-IM6-506	P-0041149-T01-IM6		EGFR-RAD51	RAD51	in-frame	five_prime	55268799	24	982	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase; Receptor L domain; Furin-like cysteine rich region; Growth factor receptor domain IV			EGFR (NM_005228) - RAD51 (NM_002875) fusion: t(7;15)(p11.2;q15.1)(chr7:g.55268799::chr15:g.40996189) | Protein Fusion: in frame  {EGFR:RAD51}	NA
EVT-P-0034594-T01-IM6-507	P-0034594-T01-IM6		EGFR-SEPTIN14	SEPTIN14	in-frame	five_prime	55268544	24	982	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase; Receptor L domain; Furin-like cysteine rich region; Growth factor receptor domain IV			EGFR (NM_005228) - SEPT14 (NM_207366) fusion :  c.2947-110:EGFR_c.1120-1204:SEPT14 | Protein Fusion: in frame  {EGFR:SEPT14}	NA
EVT-P-0038138-T01-IM6-508	P-0038138-T01-IM6		EGFR-SEPTIN14	SEPTIN14	in-frame	five_prime	55268381	24	982	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase; Receptor L domain; Furin-like cysteine rich region; Growth factor receptor domain IV			EGFR (NM_005228) - SEPT14 (NM_207366) fusion (EGFR exons 1-24 fused to SEPT14 exon 10): c.2946+275:EGFR_c.1119+2043:SEPT14inv | Protein Fusion: in frame  {EGFR:SEPT14}	NA
EVT-P-0037526-T01-IM6-509	P-0037526-T01-IM6		EGFR-SEPTIN14	SEPTIN14	unknown	five_prime	55268916	25	994	False	retained	1.0	False	Protein tyrosine and serine/threonine kinase; Receptor L domain; Furin-like cysteine rich region; Growth factor receptor domain IV			EGFR (NM_005228) - SEPT14 (NM_207366) fusion: c.2982:EGFR_c.1119+1151:SEPT14inv | Protein Fusion: mid-exon  {EGFR:SEPT14}	NA
